Pharmaceutical Society of Ireland,,,,,,,,,
This data is correct at: 01.07.2022,,,,,,,,,
Registration Number,Trading Name,Street 1,Street 2,Street 3,Town,County,RPB Owner,Eircode,Address 1
5658,Mulligan's Pharmacy,40/41 Barronstrand Street,,,Waterford City,Co. Waterford,Mulligans Chemist Limited,,"40/41 Barronstrand Street
Waterford City, Co. Waterford"
5659,Mulligan's Pharmacy,Rockshire Road,Ferrybank,,Waterford City,Co. Waterford,Mulligan's Chemists (Ferrybank) Limited,,"Rockshire Road
Ferrybank
Waterford City, Co. Waterford"
5662,Mulvihill Pharmacy Limited,Main Street,,,Killorglin,Co. Kerry,Mulvihill Pharmacy Limited,,"Main Street
Killorglin, Co. Kerry"
5663,Morgan's Medical Hall ,The Square,,,Tullow,Co. Carlow,Kilcarrig Pharmacy Limited,,"The Square
Tullow, Co. Carlow"
5665,O'Connor's Pharmacy,Main Street,,,Bruff,Co. Limerick,Wareen Limited,,"Main Street
Bruff, Co. Limerick"
5666,Magee's Pharmacy,15 Earl Street,,,Dundalk,Co. Louth,William Magee (Chemist) Limited,,"15 Earl Street
Dundalk, Co. Louth"
5669,The Foyle Pharmacy,Market Square,,,Moville,Co. Donegal,Rexton Ltd,,"Market Square
Moville, Co. Donegal"
5676,Mary Shinnick - The North Gate Pharmacy,12 North Main Street,,,Cork,Co. Cork,Mary Comber,,"12 North Main Street
Cork, Co. Cork"
5679,Hospital Allcare Pharmacy,Main Street,,,Hospital,Co. Limerick,O'Brien's Pharmacy (Hospital) Limited,,"Main Street
Hospital, Co. Limerick"
5680,Deasy's Pharmacy ,98/99 Shandon Street,,,Cork,Co. Cork,Ninsur Ltd,,"98/99 Shandon Street
Cork, Co. Cork"
5681,LloydsPharmacy,The Square,,,Claremorris,Co. Mayo,Lloydspharmacy Ireland Limited,,"The Square
Claremorris, Co. Mayo"
5683,Haven Pharmacy Davey's,Ballyhaunis Road,,,Claremorris,Co. Mayo,Paul Davey Pharmacy Limited,,"Ballyhaunis Road
Claremorris, Co. Mayo"
5684,Cloyne CarePlus Pharmacy,The Square,,,Cloyne,Co. Cork,Cloyne Pharmacy Limited,,"The Square
Cloyne, Co. Cork"
5687,Aughrim Pharmacy Limited,Main Street,,,Aughrim,Co. Wicklow,Aughrim Pharmacy Limited,Y14 A2H3,"Main Street
Aughrim, Co. Wicklow Y14 A2H3"
5688,Adrian Dunne Pharmacy,Upper Main Street,,,Portarlington,Co. Laois,John O'Byrne Chemist limited,,"Upper Main Street
Portarlington, Co. Laois"
5692,Moloney's Pharmacy,Emmet Place,,,Kinsale,Co. Cork,Miniato Bridge Ltd,,"Emmet Place
Kinsale, Co. Cork"
5695,Waterville Pharmacy Limited,Main Street,,,Waterville,Co. Kerry,Waterville Pharmacy Limited,,"Main Street
Waterville, Co. Kerry"
5696,O'Connell's Pharmacy,67 Magazine Road,,,Cork,Co. Cork,Mary O'Connell,,"67 Magazine Road
Cork, Co. Cork"
5699,LloydsPharmacy,21 Main Street,,,Midleton,Co. Cork,Lloydspharmacy Ireland Limited,,"21 Main Street
Midleton, Co. Cork"
5702,O'Doherty's Staywell Pharmacy,Bridge Street,,,Milltown,Co. Kerry,O'Doherty's Pharmacy Limited,,"Bridge Street
Milltown, Co. Kerry"
5703,F. O'Donnell Limited,Main Street,,,Abbeyleix,Co. Laois,F. O'Donnell Limited,,"Main Street
Abbeyleix, Co. Laois"
5705,O'Donnell's Pharmacy Ltd.,42 Main Street,,,Dungloe,Co. Donegal,O'Donnell's Pharmacy Ltd,,"42 Main Street
Dungloe, Co. Donegal"
5707,O'Donnell's totalhealth Pharmacy,Bridge Street,,,Westport,Co. Mayo,Sheila O'Donnell (Pharmacy) Limited,,"Bridge Street
Westport, Co. Mayo"
5708,O'Donnell's totalhealth Pharmacy,The Square,,,Charlestown,Co. Mayo,Heather County Pharmacy Limited,F12 PH36,"The Square
Charlestown, Co. Mayo F12 PH36"
5709,Tom Murray Pharmacy Ltd,The Mall,,,Ramelton,Co. Donegal,Tom Murray Pharmacy Ltd,,"The Mall
Ramelton, Co. Donegal"
5710,O'Donnell & Mernagh Limited,"Main Street,",,,Taghmon,Co. Wexford,O'Donnell & Mernagh Limited,,"Main Street,
Taghmon, Co. Wexford"
5711,Doneraile Pharmacy,Main Street,,,Doneraile,Co. Cork,Powerline Healthcare Limited,,"Main Street
Doneraile, Co. Cork"
5718,LloydsPharmacy,21 Tullow Street,,,Carlow Town,Co. Carlow,Lloydspharmacy Ireland Limited,,"21 Tullow Street
Carlow Town, Co. Carlow"
5719,O'Dwyer's Pharmacy,34 Main Street,,,Cashel,Co. Tipperary,Sean O'Duibhir Teoranta,,"34 Main Street
Cashel, Co. Tipperary"
5721,"Pharmacy Department, Bon Secours Hospital",,College Road,,Cork,Co. Cork,Bon Secours Health System Company Limited By Guarantee,,"College Road
Cork, Co. Cork"
5727,McQuaid's Pharmacy Limited,Cogan Street,,,Oldcastle,Co. Meath,McQuaid Pharmacy Limited,,"Cogan Street
Oldcastle, Co. Meath"
5728,Ballyduff Pharmacy,Ballyduff,,,Tralee,Co. Kerry,Anne Harty,,"Ballyduff
Tralee, Co. Kerry"
5729,LloydsPharmacy,8 Grand Parade,,,Cork City,Co. Cork,Lloydspharmacy Ireland Limited,,"8 Grand Parade
Cork City, Co. Cork"
5731,Ballybay Pharmacy,54-55  Main Street,,,Ballybay,Co. Monaghan,Golden Property Opportunity Ltd,,"54-55  Main Street
Ballybay, Co. Monaghan"
5733,O'Mahony's Pharmacy Limited,,,,Ardfert,Co. Kerry,O'Mahony's Pharmacy Limited,,"Ardfert, Co. Kerry"
5735,O'Meara's totalhealth Pharmacy,Market Square,,,Scariff,Co. Clare,H & H O'Meara (Pharmacists) Limited,,"Market Square
Scariff, Co. Clare"
5736,O'Meara's CarePlus Pharmacy,30 Upper Main Street,,,Arklow,Co. Wicklow,O'Meara's Pharmacy Arklow Limited,,"30 Upper Main Street
Arklow, Co. Wicklow"
5737,Scannell's Pharmacy,Main Street,,,Ballineen,Co. Cork,Eileen McCarthy,,"Main Street
Ballineen, Co. Cork"
5740,McCormack's Total Health Pharmacy,51 Upper William Street,,,Limerick,Co. Limerick,Mc Cormack Chemists & Co Limited,,"51 Upper William Street
Limerick, Co. Limerick"
5741,Flanagan's totalhealth Pharmacy,The Square,,,Athenry,Co. Galway,James Flanagan and Company (Headford) Limited,H65 F672,"The Square
Athenry, Co. Galway H65 F672"
5742,Reilly's totalhealth Pharmacy,Barrack Street,,,Belmullet,Co. Mayo,Kencon Pharmacy Limited,,"Barrack Street
Belmullet, Co. Mayo"
5745,Byrne's Total Health Pharmacy,Main Street,,,Kiltimagh,Co. Mayo,Yvonne Byrne Pharmacy Limited,,"Main Street
Kiltimagh, Co. Mayo"
5749,O'Reilly's totalhealth Pharmacy,18 Gladstone Street,,,Clonmel,Co. Tipperary,O'Reilly's Pharmacy Limited,,"18 Gladstone Street
Clonmel, Co. Tipperary"
5755,Blackpool Bridge Pharmacy Ltd,Blackpool Bridge,Blackpool,,Cork,Co. Cork,Blackpool Bridge Pharmacy Ltd,,"Blackpool Bridge
Blackpool
Cork, Co. Cork"
5756,Callagy's Pharmacy,Main Street,,,Kilcock,Co. Kildare,Kilcock Pharmacy Limited,,"Main Street
Kilcock, Co. Kildare"
5757,Dooley's Pharmacy,Pound Street,,,Drumcollogher,Co. Limerick,Westpharm Limited,,"Pound Street
Drumcollogher, Co. Limerick"
5759,O'Sullivan's Pharmacy,South Douglas Road,,,Cork,Co. Cork,C. O'Sullivan Chemists (Cork) Limited,,"South Douglas Road
Cork, Co. Cork"
5764,James Pettit Pharmacy ,Main Street,,,Charleville,Co. Cork,James Pettit Pharmacy Limited,,"Main Street
Charleville, Co. Cork"
5767,Plunkett's Pharmacy,40-42 Main Street,,,Croom,Co. Limerick,Flashgrove Limited,,"40-42 Main Street
Croom, Co. Limerick"
5768,Poplar Pharmacy,Unit 4,Poplar Square,,Naas,Co. Kildare,Dobit Limited,,"Unit 4
Poplar Square
Naas, Co. Kildare"
5774,Ballybunion Pharmacy,Supervalu Shopping Centre,Main Street,,Ballybunion,Co. Kerry,Ballybunion Pharmacy Limited,,"Supervalu Shopping Centre
Main Street
Ballybunion, Co. Kerry"
5775,Walsh's Pharmacy (Fermoy) Limited,15 Patrick Street,,,Fermoy,Co. Cork,Mike Walsh Pharmacy Ltd,,"15 Patrick Street
Fermoy, Co. Cork"
5776,Passage West Pharmacy,Strand Street,,,Passage West,Co. Cork,L Quigley Limited,,"Strand Street
Passage West, Co. Cork"
5778,S. Quinn & Sons Limited,Pearse Street,,,Ballina,Co. Mayo,Seamus Quinn & Sons Limited,,"Pearse Street
Ballina, Co. Mayo"
5788,Smith's Pharmacy,Unit 3 Riverforest Shopping Centre,,,Leixlip,Co. Kildare,Riverforest Pharmacy Limited,,"Unit 3 Riverforest Shopping Centre
Leixlip, Co. Kildare"
5789,Pharmacy First Plus Glanmire,"Unit 4, Hazelwood Centre",,,Glanmire,Co. Cork,Glanmire Pharmacy Ltd,,"Unit 4, Hazelwood Centre
Glanmire, Co. Cork"
5791,Blake's Pharmacy,Main Street,,,Ballymore Eustace,Co. Kildare,Jeremiah Blake,,"Main Street
Ballymore Eustace, Co. Kildare"
5793,LloydsPharmacy,Lower Main Street,,,Gorey,Co. Wexford,Lloydspharmacy Ireland Limited,,"Lower Main Street
Gorey, Co. Wexford"
5795,Ronaghan's Pharmacy Limited,5 The Diamond,,,Monaghan Town,Co. Monaghan,Ronaghan's Pharmacy Limited,,"5 The Diamond
Monaghan Town, Co. Monaghan"
5798,Ryans Pharmacy,20/21 Pearse Street,,,Nenagh,Co. Tipperary,Nenagh Pharmacy Limited,,"20/21 Pearse Street
Nenagh, Co. Tipperary"
5799,Life Pharmacy,2 Davis Street,,,Tipperary Town,Co. Tipperary,William Gannon Limited,,"2 Davis Street
Tipperary Town, Co. Tipperary"
5807,Killeagh Pharmacy,Main Street,,,Killeagh,Co. Cork,Killeagh Pharmacy Ltd,,"Main Street
Killeagh, Co. Cork"
5808,McGleenan's Pharmacy,2 Church Road,,,Greystones,Co. Wicklow,P.J Mc Gleenan Limited,,"2 Church Road
Greystones, Co. Wicklow"
5809,Sewell's Pharmacy ,1/2 New Street,,,Killarney,Co. Kerry,Sewells Pharmacy (Killarney) Limited,,"1/2 New Street
Killarney, Co. Kerry"
5811,Haven Pharmacy Shanahan's,Church Street,,,Castleisland,Co. Kerry,Shanahan's Pharmacy (Castleisland) Ltd,,"Church Street
Castleisland, Co. Kerry"
5815,Campile Pharmacy,Campile,,,New Ross,Co. Wexford,Glanbia Foods Ireland Limited,,"Campile
New Ross, Co. Wexford"
5818,Roches Chemist,34 Vevay Road,,,Bray,Co. Wicklow,Brighton Healthcare Limited,,"34 Vevay Road
Bray, Co. Wicklow"
5821,McCauley Health & Beauty Pharmacy,8-10 North Main Street,,,Wexford Town,Co. Wexford,Sam McCauley Chemists (Wexford) Ltd,,"8-10 North Main Street
Wexford Town, Co. Wexford"
5830,Staunton's Allcare Pharmacy,The Square,,,Louisburgh,Co. Mayo,Courthouse Pharmacy Limited,,"The Square
Louisburgh, Co. Mayo"
5835,O'Brien's Pharmacy,The Square,,,Cahir,Co. Tipperary,Gabo Pharmacy Limited,,"The Square
Cahir, Co. Tipperary"
5838,Laytown Pharmacy,Strand Road,,,Laytown,Co. Meath,Jabez (Laytown) Limited,,"Strand Road
Laytown, Co. Meath"
5840,Treacy's Pharmacy,Main Street,,,Ballinrobe,Co. Mayo,Tom Treacy Chemist (Ballinrobe) Limited,F31 V261,"Main Street
Ballinrobe, Co. Mayo F31 V261"
5842,Wallace's Pharmacy,Ballyvolane Shopping Centre,Ballyvolane,,Cork,Co. Cork,Ballyvolane Pharmacy Ltd,,"Ballyvolane Shopping Centre
Ballyvolane
Cork, Co. Cork"
5843,Cobh Pharmacy,3 East  Beach,,,Cobh,Co. Cork,Phelan's Photo Limited,,"3 East  Beach
Cobh, Co. Cork"
5844,Vance & Wilson Chemists,92 Main Street,,,Bray,Co. Wicklow,Kennedy's Pharmacy Limited,,"92 Main Street
Bray, Co. Wicklow"
5846,Veale's Allcare Pharmacy,59 Main Street,,,Cavan Town,Co. Cavan,Cavan Medical Supplies Limited,,"59 Main Street
Cavan Town, Co. Cavan"
5849,Carroll's Pharmacy,Church Street,,,Freshford,Co. Kilkenny,Bridgeview Pharmacy Limited,,"Church Street
Freshford, Co. Kilkenny"
5850,Irwin's Pharmacy,77 Shandon Street,,,Cork,Co. Cork,Northface Limited,,"77 Shandon Street
Cork, Co. Cork"
5851,Walsh's Pharmacy,Green Street,,,Dingle,Co. Kerry,J Walsh Pharmacy (Dingle) Limited,,"Green Street
Dingle, Co. Kerry"
5852,Walsh's Pharmacy,123 Shandon Street,,,Cork,Co. Cork,Walsh (Shandon Street) Ltd,,"123 Shandon Street
Cork, Co. Cork"
5853,Healy's Pharmacy,Society Street,,,Ballinasloe,Co. Galway,Marleway Limited,,"Society Street
Ballinasloe, Co. Galway"
5855,Walsh's Pharmacy,Main Street,,,Celbridge,Co. Kildare,James & Vincent Walsh (Pharmacy) Limited,,"Main Street
Celbridge, Co. Kildare"
5856,Walsh's Pharmacy,Unit 2 Tesco Shopping Centre,,,Celbridge,Co. Kildare,James & Vincent Walsh (Pharmacy) Limited,,"Unit 2 Tesco Shopping Centre
Celbridge, Co. Kildare"
5857,Walsh's Pharmacy,Main Street,,,Spiddal,Co. Galway,Pharmacy Care Services Limited,,"Main Street
Spiddal, Co. Galway"
5859,O'Donnell's totalhealth  Pharmacy,Market Street,,,Swinford,Co. Mayo,Springkeel Limited,,"Market Street
Swinford, Co. Mayo"
5861,Geraghty's Pharmacy Ltd,Main Street,,,Crossmolina,Co. Mayo,Martina Geraghty Pharmacy Ltd,,"Main Street
Crossmolina, Co. Mayo"
5863,West Clare Pharmacy,Main Street,,,Miltown Malbay,Co. Clare,West Clare Pharmacies Limited,,"Main Street
Miltown Malbay, Co. Clare"
5865,Whelans CarePlus Pharmacy,11 Williamsgate Street,,,Galway City,Co. Galway,J.M. Whelan & Sons Limited,,"11 Williamsgate Street
Galway City, Co. Galway"
5866,Whelehan's Pharmacy,38 Pearse Street,,,Mullingar,Co. Westmeath,Wellpharm Limited,,"38 Pearse Street
Mullingar, Co. Westmeath"
5868,White's Pharmacy Limited,5 High Street,,,Kilkenny,Co. Kilkenny,White's Pharmacy Limited,R95 Y544,"5 High Street
Kilkenny, Co. Kilkenny R95 Y544"
5869,White's Pharmacy,Main Street,,,Castlebellingham,Co. Louth,Martina Lynch Limited ,,"Main Street
Castlebellingham, Co. Louth"
5870,Widdess Fitzgibbon Pharmacy Limited,55 Roches Street,,,Limerick,Co. Limerick,Widdess Fitzgibbon Pharmacy Limited,,"55 Roches Street
Limerick, Co. Limerick"
5873,Wilson's Pharmacy,18 West Beach,,,Cobh,Co. Cork,Wilson's Pharmacy Limited,,"18 West Beach
Cobh, Co. Cork"
5874,Mullingar Pharmacy,49 Oliver Plunkett Street,,,Mullingar,Co. Westmeath,Osfield Limited,,"49 Oliver Plunkett Street
Mullingar, Co. Westmeath"
5877,Mulrooney's Pharmacy,The Square,,,Mountbellew,Co. Galway,Linehans Pharmacy Limited,,"The Square
Mountbellew, Co. Galway"
5878,Hickey's Pharmacy,55 Lower O'Connell Street,,,,Dublin 1,Estherfield Limited,,"55 Lower O'Connell Street
Dublin 1"
5880,Jeffrey's Pharmacy Ltd,Medical Hall,Church Street,,Cahirsiveen,Co. Kerry,Jeffrey's Pharmacy Ltd,,"Medical Hall
Church Street
Cahirsiveen, Co. Kerry"
5882,Hartstown Pharmacy,Unit 2,Hartstown Shopping Centre,,Clonsilla,Dublin 15,Hartstown Pharmacy Limited,D15 K4VF,"Unit 2
Hartstown Shopping Centre
Clonsilla, Dublin 15 D15 K4VF"
5883,O'Sullivan's Pharmacy,Unit 3,Supervalu Shopping Centre,,Grange,Co. Cork,C. O'Sullivan Chemists (Cork) Limited,,"Unit 3
Supervalu Shopping Centre
Grange, Co. Cork"
5885,Haven Pharmacy Kavanagh's,Units 4-5,The Gables Shopping Centre,,Dunshaughlin,Co. Meath,Kavanagh's Pharmacy (Dunshaughlin) Limited,A85 TP63,"Units 4-5
The Gables Shopping Centre
Dunshaughlin, Co. Meath A85 TP63"
5890,Central Pharmacy,Henry Street,,,Kilrush,Co. Clare,Marie Burns (Kilrush) Limited,V15 K409,"Henry Street
Kilrush, Co. Clare V15 K409"
5891,Kelly's Pharmacy,Main Street,,,Miltown Malbay,Co. Clare,Esterville Limited,,"Main Street
Miltown Malbay, Co. Clare"
5892,LloydsPharmacy,Parkway Shopping Centre,,,Limerick,Co. Limerick,Lloydspharmacy Ireland Limited,,"Parkway Shopping Centre
Limerick, Co. Limerick"
5893,Cadden's Pharmacy ,"Unit 1, Tower S. Centre",Tower Road,,Clondalkin,Dublin 22,Rathkell Trading Company Limited,,"Unit 1, Tower S. Centre
Tower Road
Clondalkin, Dublin 22"
5894,Park Pharmacy (Cabinteely) Ltd,Unit 2,Park  Shopping Centre,,Cabinteely,Dublin 18,Park Pharmacy (Cabinteely) Ltd,,"Unit 2
Park  Shopping Centre
Cabinteely, Dublin 18"
5895,Blackrock Clinic Pharmacy,,Rock Road,,Blackrock,Co. Dublin,Blackrock Clinic Limited,,"Rock Road
Blackrock, Co. Dublin"
5896,Adrian Dunne Pharmacy,Unit 4,Racecourse Shopping Centre,,Baldoyle,Dublin 13,Popster Limited,,"Unit 4
Racecourse Shopping Centre
Baldoyle, Dublin 13"
5897,Tony Walsh Allcare Pharmacy,Merrion Shopping Centre,,,Merrion Road,Dublin 4,Pharmacy Merrion Centre Limited,,"Merrion Shopping Centre
Merrion Road, Dublin 4"
5898,Your Local Pharmacy,"Unit 6, Pinewood House",Huntstown Road,,Huntstown,Dublin 15,Huntstown Pharmacy Limited,,"Unit 6, Pinewood House
Huntstown Road
Huntstown, Dublin 15"
5900,Sheahan's Pharmacy Limited,18 Main Street,,,Kenmare,Co. Kerry,Sheahan's Pharmacy Limited,,"18 Main Street
Kenmare, Co. Kerry"
5901,Flanagans totalhealth Pharmacy,32 Shop Street,,,Galway City,Co. Galway,Sayridge,,"32 Shop Street
Galway City, Co. Galway"
5902,Pharmacy Department - Midland Regional Hospital,Dublin Road,,,Portlaoise,Co. Laois,Health Service Executive,,"Dublin Road
Portlaoise, Co. Laois"
5903,LloydsPharmacy,20 St. Agnes Road,,,Crumlin Village,Dublin 12,Lloydspharmacy Ireland Limited,,"20 St. Agnes Road
Crumlin Village, Dublin 12"
5904,Tooles Pharmacy,Main Street,,,Dunshaughlin,Co. Meath,Tooles Pharmacy Limited,,"Main Street
Dunshaughlin, Co. Meath"
5905,Hickey's Pharmacy,Unit 15 Navan Shopping Centre,,,Navan,Co. Meath,Philip Dillon Limited,,"Unit 15 Navan Shopping Centre
Navan, Co. Meath"
5907,"Pharmacy Department, Mater Private Hospital",,Pharmacy Department,,Eccles Street,Dublin 7,Mater Private Hospital,,"Pharmacy Department
Eccles Street, Dublin 7"
5909,Flatley's Pharmacy,Pound Street,,,Stranorlar,Co. Donegal,Flatley Chemists Ltd,,"Pound Street
Stranorlar, Co. Donegal"
5910,Kilrush Pharmacy,Frances Street,,,Kilrush,Co. Clare,Kilrush Pharmacy Limited,,"Frances Street
Kilrush, Co. Clare"
5911,Pat Hogan totalhealth Pharmacy,Fr. Griffin Avenue,,,Galway City,Co. Galway,Pat Hogan Pharmacy Limited,,"Fr. Griffin Avenue
Galway City, Co. Galway"
5914,James F. O'Sullivan & Co. Ltd,Main Street,,,Fethard,Co. Tipperary,James F. O'Sullivan & Company Limited,,"Main Street
Fethard, Co. Tipperary"
5917,O'Sullivan's Pharmacies,3 O'Connell Avenue,,,Limerick,Co. Limerick,O'Sullivans Pharmacies and Beauticans Limited,,"3 O'Connell Avenue
Limerick, Co. Limerick"
5918,Colleran's Pharmacy,Bridge Street,,,Ballyhaunis,Co. Mayo,Cody Pharmacy Limited,,"Bridge Street
Ballyhaunis, Co. Mayo"
5919,Christy McLoughlin MPSI,Ballina Shopping Centre (Dunnes Shopping Centre),,,Ballina,Co. Mayo,Ballina Pharmacy Limited,,"Ballina Shopping Centre (Dunnes Shopping Centre)
Ballina, Co. Mayo"
5922,Laois Pharmacy,1 Dunamaise House,,,Portlaoise,Co. Laois,Streetvale Limited,,"1 Dunamaise House
Portlaoise, Co. Laois"
5924,New Bawn Pharmacy,Unit 5 St. Dominic's Road Shopping Centre,,,Tallaght,Dublin 24,Loughman & Joyce Limited ,,"Unit 5 St. Dominic's Road Shopping Centre
Tallaght, Dublin 24"
5926,LloydsPharmacy,282 Lower Rathmines Road,,,Rathmines,Dublin 6,Lloydspharmacy Ireland Limited,,"282 Lower Rathmines Road
Rathmines, Dublin 6"
5927,Greenhills Pharmacy Limited,133 St. Peter's Road,,,Walkinstown,Dublin 12,Greenhills Pharmacy Limited,,"133 St. Peter's Road
Walkinstown, Dublin 12"
5929,Goode's CarePlus Pharmacy,Main Street,,,Abbeyfeale,Co. Limerick,Goode & Co. (Pharmacy) Limited,,"Main Street
Abbeyfeale, Co. Limerick"
5931,Gannon's Pharmacy,Earl Street,,,Longford Town,Co. Longford,Baycrest Ltd,,"Earl Street
Longford Town, Co. Longford"
5933,Park Pharmacy,Unit 2,Park Shopping Centre,,Prussia Street,Dublin 7,Peter Wong,,"Unit 2
Park Shopping Centre
Prussia Street, Dublin 7"
5934,Kevin C Carey Chemist MPSI,Main Street,,,Baltinglass,Co. Wicklow,Kevin Carey,,"Main Street
Baltinglass, Co. Wicklow"
5935,Lynch's Pharmacy,Oliver Plunkett Street,,,Oldcastle,Co. Meath,Lynpharm Limited,,"Oliver Plunkett Street
Oldcastle, Co. Meath"
5937,O.D.C. Pharmacy,Unit 2,Laurel Lodge Shopping Centre,,Castleknock,Dublin 15,Macoson Retail Ltd,,"Unit 2
Laurel Lodge Shopping Centre
Castleknock, Dublin 15"
5940,Kilcohan's Pharmacy,Kilcohan Shopping Centre,,,Waterford City,Co. Waterford,Kilcohan Pharmacy Ltd,,"Kilcohan Shopping Centre
Waterford City, Co. Waterford"
5942,Boghall Pharmacy,"Unit 9, Boghall Shopping Centre",Boghall Road,,Bray,Co. Wicklow,Enniskerry Pharmacy Limited,,"Unit 9, Boghall Shopping Centre
Boghall Road
Bray, Co. Wicklow"
5943,O'Sullivan's Pharmacy,South Quay,,,Newcastle West,Co. Limerick,J. O'Sullivan Pharmacy Limited,,"South Quay
Newcastle West, Co. Limerick"
5945,Town Centre Pharmacy,No.4 Drogheda Town Centre,West Street,,Drogheda,Co. Louth,Montekin Limited,,"No.4 Drogheda Town Centre
West Street
Drogheda, Co. Louth"
5946,Boyne Grove Pharmacy ,"Unit 5, Ballsgrove Shopping Centre",,,Drogheda,Co. Louth,Boyne Grove Pharmacy Limited,,"Unit 5, Ballsgrove Shopping Centre
Drogheda, Co. Louth"
5947,R. Murphy MPSI Ltd,48 North Main Street,,,Cork,Co. Cork,R.Murphy MPSI Ltd,,"48 North Main Street
Cork, Co. Cork"
5949,Foley's Life Pharmacy,Unit 8 Palmerstown S.C.,,,Palmerstown,Dublin 20,Frances Foley's Community Pharmacy Limited ,,"Unit 8 Palmerstown S.C.
Palmerstown, Dublin 20"
5950,Park Pharmacy,7 Tyrone Rd,Lismore Park,,Waterford City,Co. Waterford,Lismore Park Pharmacy Limited,,"7 Tyrone Rd
Lismore Park
Waterford City, Co. Waterford"
5952,Adrian Dunne Pharmacy,Market Street,,,Trim,Co. Meath,Adrian Dunne Chemist (Trim) Limited,,"Market Street
Trim, Co. Meath"
5954,Dowling's  Pharmacy,6 Lower Baggot Street,,,,Dublin 2,Baggot Pharmacy Limited,,"6 Lower Baggot Street
Dublin 2"
5955,Cooney's Pharmacy,Main Street,,,Moate,Co. Westmeath,Cooneys Pharmacy (Moate) Limited,N37 X6P1,"Main Street
Moate, Co. Westmeath N37 X6P1"
5957,Hickey's Pharmacy,6 Post Office Buildings,,,Henry Street,Dublin 1,Estherfield Limited,,"6 Post Office Buildings
Henry Street, Dublin 1"
5958,"Pharmacy Department, St. John Of God Hospital Stillorgan",,,,Stillorgan,Co. Dublin,Saint John of God Hospital clg,,"Stillorgan, Co. Dublin"
5962,The Mall Pharmacy,54 The Mall,,,Sligo Town,Co. Sligo,Anne O'Rourke,,"54 The Mall
Sligo Town, Co. Sligo"
5963,O'Sullivan's Pharmacy,Unit 5-6 Wilton Shopping Centre,,,Cork,Co. Cork,C. O'Sullivan Chemists (Cork) Limited,,"Unit 5-6 Wilton Shopping Centre
Cork, Co. Cork"
5964,Booterstown Pharmacy Limited,87c Booterstown Avenue,,,Blackrock,Co. Dublin,Booterstown Pharmacy Limited,,"87c Booterstown Avenue
Blackrock, Co. Dublin"
5967,Brennan's Life Pharmacy,1 Fairways Mall,,,Donabate,Co. Dublin,Jane Brennan Pharmacy Limited,,"1 Fairways Mall
Donabate, Co. Dublin"
5970,Kavanagh's Pharmacy,Duffry Hill,,,Enniscorthy,Co. Wexford,Dermot Kavanagh,,"Duffry Hill
Enniscorthy, Co. Wexford"
5974,Cooney's Pharmacy,Mullingar Road,,,Kilbeggan,Co. Westmeath,Cooneys Pharmacy (Moate) Limited,,"Mullingar Road
Kilbeggan, Co. Westmeath"
5976,Murphy's Pharmacy,,,,Boherbue,Co. Cork,Timothy R Murphy Ltd,,"Boherbue, Co. Cork"
5978,St. Patrick's Pharmacy,Greenfields Shopping Centre,,,Maynooth,Co. Kildare,Manyana Limited,,"Greenfields Shopping Centre
Maynooth, Co. Kildare"
5979,O'Riordan's Pharmacy,Concolbert Street,,,Athea,Co. Limerick,D O'Riordpharm Limited,,"Concolbert Street
Athea, Co. Limerick"
5980,Mari Mina Pharmacy ,Main Street,,,Lismore,Co. Waterford,Mari Mina Pharmacy Limited,,"Main Street
Lismore, Co. Waterford"
5982,Leahy's Pharmacy,Oakpark,,,Tralee,Co. Kerry,Leahy Pharmacy Limited,,"Oakpark
Tralee, Co. Kerry"
5983,"Pharmacy Department, Beaumont Hospital",Beaumont Road,,,Beaumont,Dublin 9,Beaumont Hospital Board,,"Beaumont Road
Beaumont, Dublin 9"
5987,"Pharmacy Department, St. James' Hospital",James's Street,,,,Dublin 8,St. James Hospital Board,,"James's Street
Dublin 8"
5988,Little Island CarePlus Pharmacy ,Eastgate Village,,,Little Island,Co. Cork,Little Island Pharmacy Ltd,,"Eastgate Village
Little Island, Co. Cork"
5989,"Pharmacy Department, Naas General Hospital",,,,Naas,Co. Kildare,Health Service Executive,,"Naas, Co. Kildare"
5990,"Pharmacy Department, National Maternity Hospital",Holles Street,,,,Dublin 2,National Maternity Hospital,,"Holles Street
Dublin 2"
5991,Tallaght University Hospital Pharmacy,,,,Tallaght,Dublin 24,The Adelaide & Meath Hospital Dublin Incorporating The National Children's Hospital,,"Tallaght, Dublin 24"
5992,Allcare Pharmacy,Main Street,,,Carrickmacross,Co. Monaghan,T. A. Matthews (Ardee) Limited,,"Main Street
Carrickmacross, Co. Monaghan"
5995,McCauley Health & Beauty Pharmacy,4-9 Redmond Square,,,Wexford Town,Co. Wexford,Sam McCauley Chemists (Redmond Square) Ltd,,"4-9 Redmond Square
Wexford Town, Co. Wexford"
5996,Barry's Pharmacy Limited,Main Street,,,Delvin,Co. Westmeath,Barry’s Pharmacy Limited ,,"Main Street
Delvin, Co. Westmeath"
5998,Leo Walsh Pharmacy,Unit 105,Eyre Square Centre,,Galway City,Co. Galway,Varley's Pharmacy Limited,,"Unit 105
Eyre Square Centre
Galway City, Co. Galway"
